feedback_id,order_id,customer_name,feedback_text,sentiment,rating,created_at
1,4084,Arhaan Sood,"Package was late, no update from driver.",Negative,2,2025-08-30 09:49:23
2,6917,Misha Gour,"Delivery never came, wrong address issue.",Negative,3,2025-07-31 02:23:40
3,8251,Dharmajan Cherian,"Package was late, no update from driver.",Negative,5,2025-04-01 01:30:58
4,9177,Yasmin Gopal,Driver was polite but package was delayed.,Positive,5,2025-04-16 10:28:48
5,6500,Jiya Roy,"Good service, on time delivery.",Negative,5,2025-01-17 22:51:36
6,6778,Reyansh Dasgupta,Driver was polite but package was delayed.,Negative,5,2025-04-28 06:48:24
7,5140,Anika Andra,Package cancelled due to stock issue.,Positive,3,2025-04-06 04:01:21
8,5467,Zeeshan Dube,"Package was late, no update from driver.",Neutral,5,2025-07-22 01:48:45
9,5128,Hansh Lalla,"Delivery never came, wrong address issue.",Positive,1,2025-08-05 02:28:45
10,5196,Badal Bhatia,"Delivery never came, wrong address issue.",Neutral,2,2025-05-06 04:45:04
11,6335,Divit Issac,"Delivery never came, wrong address issue.",Neutral,3,2025-06-23 18:47:11
12,2820,Veer Uppal,"Package was late, no update from driver.",Neutral,5,2025-03-09 03:24:28
13,9847,Hunar Deshpande,"Package was late, no update from driver.",Neutral,4,2025-03-06 01:14:48
14,868,Veer Sankar,Package cancelled due to stock issue.,Neutral,3,2025-01-20 20:21:46
15,6233,Eshani Borah,"Delivery never came, wrong address issue.",Neutral,1,2025-04-08 23:22:28
16,3534,Gokul Ranganathan,Package cancelled due to stock issue.,Neutral,4,2025-07-03 16:01:33
17,5166,Fateh Kari,"Package was late, no update from driver.",Negative,5,2025-06-26 13:33:53
18,4564,Tushar Uppal,"Good service, on time delivery.",Negative,2,2025-08-26 13:18:35
19,8199,Jayan Kumar,"Delivery never came, wrong address issue.",Positive,4,2025-02-20 10:23:39
20,9146,Aayush Virk,Driver was polite but package was delayed.,Positive,2,2025-04-22 09:59:18
21,3386,Kashvi Bhat,Package cancelled due to stock issue.,Positive,1,2025-04-10 01:19:22
22,6386,Kiaan Date,"Good service, on time delivery.",Positive,3,2025-03-30 21:02:27
23,2988,Shray Saini,Package cancelled due to stock issue.,Negative,3,2025-04-11 20:11:21
24,142,Shanaya Chand,"Package was late, no update from driver.",Positive,3,2025-06-02 20:21:40
25,1667,Tejas Krish,"Package was late, no update from driver.",Neutral,3,2025-01-03 13:37:47
26,4383,Parinaaz Bhakta,"Good service, on time delivery.",Neutral,3,2025-04-13 22:44:49
27,3131,Urvi Ramanathan,"Package was late, no update from driver.",Negative,4,2025-06-09 08:06:53
28,9022,Tejas Edwin,Package cancelled due to stock issue.,Negative,5,2025-01-22 22:19:51
29,5716,Prerak Bhatnagar,"Package was late, no update from driver.",Neutral,4,2025-03-26 07:33:42
30,2890,Zain Tandon,"Good service, on time delivery.",Neutral,1,2025-06-18 20:00:34
31,4402,Badal Sachar,Package cancelled due to stock issue.,Negative,4,2025-07-08 12:18:10
32,1943,Stuvan Golla,Package cancelled due to stock issue.,Negative,4,2025-06-21 16:36:24
33,1871,Dhruv Sharma,Package cancelled due to stock issue.,Neutral,2,2025-01-13 08:31:52
34,9457,Dhanush Dhawan,Driver was polite but package was delayed.,Negative,4,2025-05-04 15:26:13
35,589,Uthkarsh Atwal,"Package was late, no update from driver.",Neutral,5,2025-06-25 05:32:39
36,7020,Khushi Sha,"Delivery never came, wrong address issue.",Negative,5,2025-07-07 22:05:29
37,1300,Rohan Chaudry,Driver was polite but package was delayed.,Neutral,1,2025-06-28 20:38:36
38,1898,Navya Gill,"Package was late, no update from driver.",Negative,5,2025-01-31 16:58:44
39,9407,Zaina Khurana,Package cancelled due to stock issue.,Positive,3,2025-02-28 21:54:28
40,7583,Darshit Gill,Package cancelled due to stock issue.,Positive,1,2025-05-23 23:35:05
41,3107,Himmat Sarna,"Delivery never came, wrong address issue.",Neutral,1,2025-06-21 18:43:38
42,4976,Raunak Sethi,"Package was late, no update from driver.",Positive,2,2025-06-27 16:17:01
43,5587,Hrishita Sarin,"Good service, on time delivery.",Positive,2,2025-04-13 11:13:51
44,4931,Ehsaan Gupta,Package cancelled due to stock issue.,Neutral,4,2025-03-18 22:42:44
45,1284,Romil Tandon,Driver was polite but package was delayed.,Positive,2,2025-02-16 21:27:12
46,9016,Keya Agrawal,"Package was late, no update from driver.",Positive,1,2025-04-11 07:53:10
47,6690,Drishya Shankar,Package cancelled due to stock issue.,Positive,1,2025-06-22 03:46:26
48,3552,Jhanvi Ranganathan,Driver was polite but package was delayed.,Neutral,4,2025-01-07 07:45:27
49,1032,Bhavin Batta,"Package was late, no update from driver.",Negative,4,2025-03-22 12:22:03
50,7100,Jhanvi Bhandari,"Package was late, no update from driver.",Neutral,1,2025-01-20 07:55:03
51,8108,Keya Ramesh,"Package was late, no update from driver.",Neutral,2,2025-07-27 10:34:42
52,922,Saira Bassi,Driver was polite but package was delayed.,Positive,5,2025-05-13 09:31:06
53,569,Priyansh Chacko,Package cancelled due to stock issue.,Positive,3,2025-02-08 15:33:13
54,7004,Indranil Dhaliwal,"Delivery never came, wrong address issue.",Negative,3,2025-04-12 07:11:09
55,5350,Badal Hora,Package cancelled due to stock issue.,Positive,1,2025-05-29 14:31:56
56,1466,Yuvaan Aurora,"Delivery never came, wrong address issue.",Negative,1,2025-02-21 03:06:46
57,3801,Keya Tank,"Package was late, no update from driver.",Neutral,2,2025-04-13 06:41:21
58,8606,Dhanush Choudhary,Driver was polite but package was delayed.,Negative,5,2025-02-20 07:45:35
59,4420,Hansh Vasa,Driver was polite but package was delayed.,Negative,3,2025-04-25 14:07:25
60,3550,Ranbir Thaman,Driver was polite but package was delayed.,Neutral,2,2025-08-24 07:14:37
61,5170,Kavya Bala,"Delivery never came, wrong address issue.",Positive,4,2025-01-01 18:11:12
62,1914,Aniruddh Din,"Package was late, no update from driver.",Positive,1,2025-06-21 08:47:05
63,3072,Sana Dugal,Driver was polite but package was delayed.,Negative,4,2025-08-04 04:19:53
64,7782,Kismat Bhalla,"Delivery never came, wrong address issue.",Negative,5,2025-01-24 20:11:42
65,3128,Rania Chacko,"Package was late, no update from driver.",Positive,2,2025-08-07 15:48:00
66,6958,Anay Khanna,Driver was polite but package was delayed.,Positive,1,2025-02-01 21:33:04
67,4500,Nakul Luthra,"Good service, on time delivery.",Negative,4,2025-02-24 22:59:40
68,3203,Onkar Virk,"Delivery never came, wrong address issue.",Neutral,5,2025-05-01 18:38:49
69,756,Eva Sur,"Good service, on time delivery.",Neutral,1,2025-01-27 23:35:18
70,508,Suhana Shetty,"Delivery never came, wrong address issue.",Negative,3,2025-01-14 15:08:13
71,8227,Emir Kalita,"Delivery never came, wrong address issue.",Negative,3,2025-04-13 06:18:31
72,8364,Anahita Lall,"Delivery never came, wrong address issue.",Negative,5,2025-08-11 20:21:53
73,7858,Siya Gaba,"Good service, on time delivery.",Negative,2,2025-03-22 21:21:25
74,6128,Shalv Sengupta,Driver was polite but package was delayed.,Neutral,2,2025-06-10 05:52:12
75,5187,Myra Lad,Package cancelled due to stock issue.,Positive,5,2025-04-28 01:10:16
76,5680,Pari Chaudhari,"Delivery never came, wrong address issue.",Neutral,5,2025-01-28 11:51:29
77,9979,Emir Choudhry,Package cancelled due to stock issue.,Neutral,4,2025-03-31 19:41:01
78,5551,Azad Kakar,"Good service, on time delivery.",Negative,4,2025-07-15 14:37:01
79,2607,Alia Dara,"Delivery never came, wrong address issue.",Neutral,3,2025-07-03 04:12:16
80,4242,Ehsaan Raja,Package cancelled due to stock issue.,Negative,4,2025-08-20 21:14:38
81,7823,Darshit Sangha,Driver was polite but package was delayed.,Negative,5,2025-06-22 12:03:29
82,2268,Hrishita Chopra,Package cancelled due to stock issue.,Negative,4,2025-05-24 10:20:51
83,5256,Indranil Mann,Driver was polite but package was delayed.,Negative,5,2025-02-02 02:19:29
84,2345,Pihu Bera,Driver was polite but package was delayed.,Negative,1,2025-04-07 21:19:24
85,2543,Reyansh Kohli,"Good service, on time delivery.",Neutral,2,2025-04-21 03:46:22
86,7408,Nirvi Kata,"Good service, on time delivery.",Positive,4,2025-01-14 18:56:32
87,2311,Hazel Karpe,Driver was polite but package was delayed.,Positive,3,2025-07-03 22:55:40
88,880,Azad Cheema,"Good service, on time delivery.",Neutral,2,2025-01-25 03:13:13
89,2437,Neysa Edwin,"Package was late, no update from driver.",Neutral,5,2025-06-13 05:01:41
90,8467,Vivaan Kurian,Driver was polite but package was delayed.,Negative,5,2025-05-25 11:29:32
91,6855,Mohanlal Dua,Driver was polite but package was delayed.,Negative,3,2025-03-11 22:38:30
92,761,Saanvi Bava,"Package was late, no update from driver.",Neutral,1,2025-07-30 02:09:26
93,956,Gokul Raman,Package cancelled due to stock issue.,Positive,1,2025-03-21 11:47:40
94,9334,Pari Kar,Package cancelled due to stock issue.,Positive,5,2025-02-02 13:32:59
95,9150,Zeeshan Zachariah,"Delivery never came, wrong address issue.",Positive,4,2025-05-13 08:36:35
96,6935,Tarini Contractor,"Package was late, no update from driver.",Negative,4,2025-02-09 23:14:32
97,3471,Parinaaz Anne,"Good service, on time delivery.",Negative,3,2025-07-21 04:23:51
98,9062,Oorja Gupta,"Delivery never came, wrong address issue.",Neutral,5,2025-02-02 12:22:58
99,3206,Samaira Kumer,"Delivery never came, wrong address issue.",Negative,4,2025-08-18 17:51:49
100,8199,Aaryahi Borra,"Delivery never came, wrong address issue.",Negative,5,2025-08-29 06:13:07
101,6770,Ira Sahota,"Good service, on time delivery.",Negative,1,2025-06-04 10:13:15
102,716,Heer Zacharia,Package cancelled due to stock issue.,Positive,5,2025-06-12 04:26:51
103,6093,Madhup Khare,Package cancelled due to stock issue.,Negative,1,2025-01-29 01:23:18
104,1226,Pranay Mammen,"Good service, on time delivery.",Neutral,1,2025-03-14 03:55:06
105,5267,Aarna Dash,"Good service, on time delivery.",Positive,3,2025-03-04 07:54:50
106,8901,Darshit Ramanathan,"Good service, on time delivery.",Negative,2,2025-04-21 12:26:20
107,9688,Manjari Sethi,Package cancelled due to stock issue.,Positive,5,2025-09-11 16:34:29
