order_id,client_id,customer_name,customer_phone,delivery_address_line1,delivery_address_line2,city,state,pincode,order_date,promised_delivery_date,actual_delivery_date,status,payment_mode,amount,failure_reason,created_at
1,337,Kiaan Dara,+918029267938,"59/164, Rama Marg",Deo Path,Coimbatore,Tamil Nadu,238829,2025-04-23 23:54:00,2025-04-26 23:54:00,,Failed,COD,1876.15,Stockout,2025-07-30 07:39:56
2,149,Tanya Bali,+919822141780,"H.No. 850
Dani Chowk",Choudhury Nagar,Ahmedabad,Gujarat,897610,2025-09-12 04:47:05,2025-09-14 04:47:05,2025-09-16 04:47:05,Delivered,COD,334.04,,2025-08-19 14:13:40
3,176,Zoya Ratti,+912558012710,"194
Bajaj Chowk",Salvi,Coimbatore,Tamil Nadu,100946,2025-02-04 23:25:42,2025-02-07 23:25:42,,Pending,COD,4727.1,,2025-05-05 19:06:53
4,472,Jhanvi Gole,+910258430634,"H.No. 707, Saha Chowk",Keer,Pune,Maharashtra,839579,2025-03-17 13:46:00,2025-03-20 13:46:00,,In-Transit,COD,4679.38,,2025-08-10 21:13:17
5,18,Kismat Borah,5745456709,"H.No. 17
Kashyap Path",Saini Zila,Bengaluru,Karnataka,337614,2025-04-27 20:08:41,2025-04-29 20:08:41,,Returned,Prepaid,1441.27,,2025-03-17 09:16:09
6,68,Ryan Kota,00759875325,"119
Ramesh Ganj",Sami Road,Coimbatore,Tamil Nadu,823437,2025-04-28 18:20:43,2025-05-03 18:20:43,,Returned,COD,4935.84,,2025-03-25 06:47:33
7,408,Dishani Wali,08681742338,"38/05, Krishnan",Kapur Path,New Delhi,Delhi,598069,2025-02-25 05:10:28,2025-03-01 05:10:28,2025-03-02 05:10:28,Delivered,COD,4644.32,,2025-05-20 08:11:29
8,287,Rati Divan,5497403148,"49, Som Zila",Ahluwalia Nagar,Chennai,Tamil Nadu,944910,2025-05-18 20:45:05,2025-05-19 20:45:05,,Failed,Prepaid,2274.28,Warehouse delay,2025-06-17 07:49:19
9,468,Divit Dyal,07397088157,"95, Bajaj Circle",Kari Chowk,Chennai,Tamil Nadu,623023,2025-07-11 02:41:03,2025-07-14 02:41:03,,Failed,COD,4551.13,Traffic congestion,2025-04-19 21:23:06
10,424,Seher Aurora,7263254600,"09, Hegde Zila",Dutt Marg,Coimbatore,Tamil Nadu,216321,2025-03-15 09:28:03,2025-03-16 09:28:03,,Pending,Prepaid,2349.37,,2025-05-27 07:09:44
11,246,Shlok Madan,08411300741,"H.No. 58, Barad",Kanda Chowk,New Delhi,Delhi,713632,2025-08-31 17:41:19,2025-09-05 17:41:19,,Returned,Prepaid,4031.02,,2025-07-06 03:56:47
12,99,Shayak Saraf,01437174223,"48/80, Walia Zila",Mammen Circle,Ahmedabad,Gujarat,201249,2025-01-16 20:11:18,2025-01-19 20:11:18,,Failed,COD,284.23,Incorrect address,2025-05-10 05:01:13
13,283,Kimaya Datta,+916296292543,"H.No. 24
Karnik Road",Garg Nagar,Mysuru,Karnataka,949178,2025-07-20 07:19:37,2025-07-25 07:19:37,,Failed,Prepaid,874.39,Stockout,2025-01-20 13:29:37
14,366,Indrans Bava,08657056475,"H.No. 55, Chadha Circle",Roy,Ahmedabad,Gujarat,734594,2025-07-30 14:11:54,2025-07-31 14:11:54,2025-08-02 14:11:54,Delivered,Prepaid,4975.29,,2025-08-02 16:04:21
15,204,Elakshi Bhagat,09498854705,"67
Biswas Nagar",Kale Chowk,Mysuru,Karnataka,452173,2025-06-03 23:42:59,2025-06-07 23:42:59,,Returned,COD,2939.71,,2025-06-23 16:42:45
16,337,Rohan Garde,01087003062,"H.No. 20
Raj Chowk",Guha Path,New Delhi,Delhi,237308,2025-04-26 04:57:20,2025-04-28 04:57:20,,Failed,Prepaid,1972.1,Traffic congestion,2025-04-07 03:11:57
17,275,Divit Badami,+917305105328,"H.No. 56
Mammen Marg",Bala Zila,New Delhi,Delhi,567591,2025-01-29 14:01:53,2025-02-02 14:01:53,,Pending,Prepaid,2819.59,,2025-01-31 09:07:04
18,56,Diya Sahni,02904750683,"96/47
Lala Nagar",Sachdeva Nagar,Bengaluru,Karnataka,935027,2025-02-25 19:36:14,2025-02-26 19:36:14,,Returned,COD,2111.25,,2025-03-20 08:30:18
19,485,Eshani Goel,09520337621,"00/788
Andra Zila",Dyal Chowk,Chennai,Tamil Nadu,842203,2025-05-17 07:18:48,2025-05-19 07:18:48,,Pending,COD,3214.65,,2025-06-07 06:17:05
20,21,Adira Shanker,+914218094087,"H.No. 50
Bumb",Borde Circle,Ahmedabad,Gujarat,230079,2025-03-28 18:39:51,2025-04-01 18:39:51,,In-Transit,COD,4328.82,,2025-05-13 01:56:37
21,220,Mishti Wali,+910158410580,"392, Sama Path",Magar Ganj,Surat,Gujarat,148932,2025-06-02 14:13:56,2025-06-07 14:13:56,,Pending,Prepaid,4781.11,,2025-08-25 23:31:27
22,266,Aaryahi Krishna,+919975776472,"256
Ganesh Street",Viswanathan Chowk,Mysuru,Karnataka,896069,2025-03-21 06:29:59,2025-03-25 06:29:59,,Failed,COD,2149.5,Weather disruption,2025-01-02 12:09:57
23,402,Hridaan Manda,07229248857,"H.No. 241, Babu Path",Khosla Nagar,Ahmedabad,Gujarat,215588,2025-07-13 03:22:44,2025-07-17 03:22:44,2025-07-19 03:22:44,Delivered,Prepaid,4466.86,,2025-05-19 12:21:34
24,30,Divit Sibal,4360039057,"85
Dube Ganj",Shere Ganj,Chennai,Tamil Nadu,152935,2025-05-01 06:29:16,2025-05-06 06:29:16,,In-Transit,Prepaid,741.98,,2025-09-07 22:42:22
25,281,Rohan Barad,07506548551,"41
Kota Chowk",Devi Zila,New Delhi,Delhi,566863,2025-04-15 15:27:02,2025-04-19 15:27:02,,Returned,COD,4608.94,,2025-05-27 03:53:32
26,270,Romil Manda,06133143948,"31/901
Ghose Road",Srivastava Road,Mysuru,Karnataka,405945,2025-09-01 01:46:30,2025-09-04 01:46:30,,In-Transit,Prepaid,3064.42,,2025-08-11 14:04:53
27,117,Tejas Bhargava,07254411862,"42/86, Sanghvi Circle",Date Street,Chennai,Tamil Nadu,853663,2025-05-06 01:36:59,2025-05-09 01:36:59,,Pending,Prepaid,1479.58,,2025-07-28 15:37:42
28,258,Chirag Balasubramanian,09005139109,"H.No. 919, Venkataraman Marg",Ganguly Ganj,New Delhi,Delhi,083368,2025-01-27 05:55:06,2025-01-30 05:55:06,,Failed,Prepaid,4641.77,Stockout,2025-05-20 06:52:19
29,67,Adah Bala,05657370208,"H.No. 425
Chada Zila",Maharaj Zila,Chennai,Tamil Nadu,747285,2025-03-29 04:27:09,2025-04-02 04:27:09,,Pending,COD,1019.79,,2025-04-08 23:55:14
30,166,Aayush Chopra,09475430618,"91, Dora Road",Banerjee Chowk,New Delhi,Delhi,505756,2025-02-01 16:09:36,2025-02-02 16:09:36,2025-02-02 16:09:36,Delivered,COD,4542.94,,2025-06-10 03:26:55
31,308,Madhav Barad,+916571405276,"741, Borde Chowk",Bera Marg,Mumbai,Maharashtra,255951,2025-02-28 20:05:05,2025-03-01 20:05:05,2025-03-02 20:05:05,Delivered,Prepaid,1993.89,,2025-08-23 23:31:43
32,263,Taran Choudhury,03590194091,"H.No. 67, Dalal Street",Magar Nagar,Chennai,Tamil Nadu,481682,2025-05-08 17:48:38,2025-05-13 17:48:38,,In-Transit,Prepaid,3883.1,,2025-07-09 04:19:16
33,10,Khushi Ratti,02952744717,"71/54, Warrior",Devi Zila,Mysuru,Karnataka,357950,2025-02-24 13:06:45,2025-02-26 13:06:45,2025-02-26 13:06:45,Delivered,COD,4050.77,,2025-04-16 06:23:23
34,362,Raghav Tak,+913030396517,"68/779
Din Path",Mallick Path,Coimbatore,Tamil Nadu,572877,2025-08-11 12:43:31,2025-08-14 12:43:31,,Returned,Prepaid,2984.4,,2025-04-09 07:40:09
35,263,Ehsaan Bal,9181087491,"08/096, Chakrabarti Road",Mangal Ganj,Bengaluru,Karnataka,817992,2025-09-11 12:59:25,2025-09-13 12:59:25,,Pending,Prepaid,4809.77,,2025-07-04 00:40:30
36,396,Kashvi Som,9918594441,"H.No. 354
Apte Circle",Chacko Chowk,New Delhi,Delhi,502179,2025-05-18 10:17:36,2025-05-19 10:17:36,,In-Transit,COD,1921.59,,2025-08-03 17:14:40
37,401,Aarush Chanda,05342846814,"383, Agarwal Nagar",Chokshi Road,Chennai,Tamil Nadu,025752,2025-01-31 20:55:22,2025-02-03 20:55:22,,In-Transit,COD,2048.45,,2025-05-15 17:05:27
38,269,Tiya Raja,4839601971,"H.No. 491, Ravi Ganj",Bajwa Ganj,Nagpur,Maharashtra,009451,2025-03-27 02:31:47,2025-03-28 02:31:47,,In-Transit,COD,3079.95,,2025-01-25 21:01:08
39,44,Eshani Taneja,+910932170528,"976
Korpal Road",Boase,Nagpur,Maharashtra,389602,2025-05-21 07:09:15,2025-05-25 07:09:15,,In-Transit,Prepaid,1720.12,,2025-03-11 17:28:08
40,160,Gokul Yadav,3359269809,"40, Thakkar Nagar",Borra Marg,New Delhi,Delhi,989513,2025-06-25 04:12:03,2025-06-26 04:12:03,2025-06-27 04:12:03,Delivered,Prepaid,313.85,,2025-06-02 22:34:02
41,38,Abram Ravel,8728873393,"28/390
Dani",Kunda Road,Coimbatore,Tamil Nadu,491230,2025-02-27 15:06:36,2025-03-02 15:06:36,,In-Transit,COD,715.93,,2025-03-10 03:37:26
42,36,Divyansh Dhaliwal,0082122313,"29/337
Virk Street",D’Alia Path,New Delhi,Delhi,227908,2025-02-19 17:47:13,2025-02-23 17:47:13,,Returned,COD,1644.16,,2025-06-18 02:39:08
43,317,Neelofar Kannan,08271137269,"H.No. 83, Wadhwa Marg",Bera Road,Chennai,Tamil Nadu,033390,2025-07-12 07:02:10,2025-07-17 07:02:10,2025-07-17 07:02:10,Delivered,COD,4360.21,,2025-03-15 10:49:44
44,195,Anay Shenoy,4093535908,"H.No. 551, Kapoor Circle",Rout Ganj,Mumbai,Maharashtra,042368,2025-06-29 14:50:37,2025-07-02 14:50:37,,In-Transit,Prepaid,333.82,,2025-07-27 07:04:32
45,41,Mehul Venkataraman,07360951520,"67/95
Golla Zila",Ghose Street,New Delhi,Delhi,419373,2025-07-14 07:46:26,2025-07-17 07:46:26,,Failed,Prepaid,4581.67,Traffic congestion,2025-06-27 07:34:52
46,222,Divit De,01309808495,"777, Loke Circle",Sood Chowk,Chennai,Tamil Nadu,946582,2025-07-28 01:02:13,2025-07-30 01:02:13,,Returned,Prepaid,4737.21,,2025-07-16 02:51:34
47,418,Biju Halder,2452865238,"01, Sanghvi Path",Mangal Chowk,Bengaluru,Karnataka,650072,2025-01-20 02:56:36,2025-01-21 02:56:36,,Failed,Prepaid,346.09,Incorrect address,2025-02-27 04:43:53
48,318,Nitya Bali,01028869669,"42/923, Yohannan Zila",Chana Ganj,Nagpur,Maharashtra,467506,2025-02-14 02:59:43,2025-02-19 02:59:43,,Returned,Prepaid,3329.7,,2025-01-05 17:15:28
